country_code,wikipedia_pageviews,date
RO,151654,2023-07-01
SE,506872,2023-07-01
SK,38373,2023-07-01
AT,386973,2023-07-02
BE,274031,2023-07-02
CH,218023,2023-07-02
DE,8432405,2023-07-02
DK,161588,2023-07-02
EE,68036,2023-07-02
ES,2844711,2023-07-02
FI,356726,2023-07-02
HU,242836,2023-07-02
IE,287981,2023-07-02
IT,5226710,2023-07-02
LT,26386,2023-07-02
LV,18834,2023-07-02
NO,151738,2023-07-02
PL,1811748,2023-07-02
PT,124588,2023-07-02
RO,188402,2023-07-02
SE,545821,2023-07-02
SK,44629,2023-07-02
AT,308193,2023-07-03
BE,241705,2023-07-03
CH,181609,2023-07-03
DE,7509136,2023-07-03
DK,143361,2023-07-03
EE,25754,2023-07-03
ES,1814406,2023-07-03
FI,241833,2023-07-03
HU,183789,2023-07-03
IE,234403,2023-07-03
IT,4501461,2023-07-03
LT,18955,2023-07-03
LV,13096,2023-07-03
NO,121286,2023-07-03
PL,1347001,2023-07-03
PT,105894,2023-07-03
RO,170226,2023-07-03
SE,454234,2023-07-03
SK,32639,2023-07-03
AT,229169,2023-07-04
BE,222357,2023-07-04
CH,161821,2023-07-04
DE,6768949,2023-07-04
DK,133901,2023-07-04
EE,19656,2023-07-04
ES,1721491,2023-07-04
FI,259267,2023-07-04
HU,173133,2023-07-04
IE,257358,2023-07-04
IT,4405308,2023-07-04
LT,18866,2023-07-04
LV,12462,2023-07-04
NO,146098,2023-07-04
PL,1319892,2023-07-04
PT,102466,2023-07-04
RO,165772,2023-07-04
SE,447964,2023-07-04
SK,31340,2023-07-04
AT,214116,2023-07-05
BE,214066,2023-07-05
CH,171048,2023-07-05
DE,6507210,2023-07-05
DK,133753,2023-07-05
EE,15915,2023-07-05
ES,1776989,2023-07-05
FI,339023,2023-07-05
HU,158451,2023-07-05
IE,232707,2023-07-05
IT,4041158,2023-07-05
LT,19858,2023-07-05
LV,8534,2023-07-05
NO,110662,2023-07-05
PL,1352147,2023-07-05
PT,114341,2023-07-05
RO,158297,2023-07-05
SE,404840,2023-07-05
SK,46974,2023-07-05
AT,236537,2023-07-06
BE,208086,2023-07-06
CH,169710,2023-07-06
DE,6300869,2023-07-06
DK,145019,2023-07-06
EE,19518,2023-07-06
ES,1741239,2023-07-06
FI,254038,2023-07-06
HU,163698,2023-07-06
IE,286566,2023-07-06
IT,4447226,2023-07-06
LT,37279,2023-07-06
LV,12032,2023-07-06
NO,104769,2023-07-06
PL,1368044,2023-07-06
PT,129777,2023-07-06
RO,161062,2023-07-06
SE,425184,2023-07-06
SK,31461,2023-07-06
AT,209356,2023-07-07
BE,229602,2023-07-07
CH,158441,2023-07-07
CZ,93,2023-07-07
DE,6220766,2023-07-07
DK,146516,2023-07-07
EE,17254,2023-07-07
ES,1802993,2023-07-07
FI,288146,2023-07-07
HU,153523,2023-07-07
IE,265063,2023-07-07
IT,4240478,2023-07-07
LT,22366,2023-07-07
LV,10164,2023-07-07
NO,98855,2023-07-07
PL,1344588,2023-07-07
PT,134304,2023-07-07
RO,161350,2023-07-07
SE,477404,2023-07-07
SK,29257,2023-07-07
AT,263915,2023-07-08
BE,236839,2023-07-08
CH,163180,2023-07-08
CZ,94,2023-07-08
DE,6303055,2023-07-08
DK,151840,2023-07-08
EE,16952,2023-07-08
ES,1963509,2023-07-08
FI,306275,2023-07-08
HU,173282,2023-07-08
IE,293019,2023-07-08
IT,4333069,2023-07-08
LT,19635,2023-07-08
LV,12935,2023-07-08
NO,91348,2023-07-08
PL,1291572,2023-07-08
PT,135633,2023-07-08
RO,168565,2023-07-08
SE,524297,2023-07-08
SK,29414,2023-07-08
AT,297598,2023-07-09
BE,339484,2023-07-09
CH,196593,2023-07-09
DE,7853196,2023-07-09
DK,169097,2023-07-09
EE,18255,2023-07-09
ES,2325930,2023-07-09
FI,302262,2023-07-09
HU,221834,2023-07-09
IE,381427,2023-07-09
IT,5069761,2023-07-09
LT,25872,2023-07-09
LV,28473,2023-07-09
NO,112447,2023-07-09
PL,1873104,2023-07-09
PT,168072,2023-07-09
RO,200727,2023-07-09
SE,504776,2023-07-09
SK,40537,2023-07-09
AT,264655,2023-07-10
BE,244370,2023-07-10
CH,205765,2023-07-10
CZ,270,2023-07-10
DE,8756532,2023-07-10
DK,197573,2023-07-10
EE,17800,2023-07-10
ES,1883672,2023-07-10
FI,250078,2023-07-10
HU,179973,2023-07-10
IE,316116,2023-07-10
IT,4334854,2023-07-10
LT,42423,2023-07-10
LV,15034,2023-07-10
NO,102926,2023-07-10
PL,1527046,2023-07-10
PT,122384,2023-07-10
RO,170199,2023-07-10
SE,506982,2023-07-10
SK,35042,2023-07-10
AT,236210,2023-07-11
BE,253835,2023-07-11
CH,163845,2023-07-11
DE,6862532,2023-07-11
DK,176864,2023-07-11
EE,17309,2023-07-11
ES,1840565,2023-07-11
FI,274446,2023-07-11
HU,206380,2023-07-11
IE,284610,2023-07-11
IT,4248882,2023-07-11
LT,54566,2023-07-11
LV,10158,2023-07-11
NO,119113,2023-07-11
PL,1622620,2023-07-11
PT,127019,2023-07-11
RO,167693,2023-07-11
SE,493836,2023-07-11
SK,33480,2023-07-11
AT,253153,2023-07-12
BE,264247,2023-07-12
CH,202221,2023-07-12
DE,7077490,2023-07-12
DK,191449,2023-07-12
EE,19240,2023-07-12
ES,1966688,2023-07-12
FI,309522,2023-07-12
HU,199070,2023-07-12
IE,319717,2023-07-12
IT,4492184,2023-07-12
LT,52645,2023-07-12
LV,7877,2023-07-12
NO,150294,2023-07-12
PL,1637484,2023-07-12
PT,142420,2023-07-12
RO,177627,2023-07-12
SE,536082,2023-07-12
SK,44100,2023-07-12
AT,238745,2023-07-13
BE,237951,2023-07-13
CH,169497,2023-07-13
DE,6822912,2023-07-13
DK,150286,2023-07-13
EE,17352,2023-07-13
ES,1922189,2023-07-13
FI,303450,2023-07-13
HU,202705,2023-07-13
IE,275630,2023-07-13
IT,4323990,2023-07-13
LT,31796,2023-07-13
LV,7301,2023-07-13
NO,109751,2023-07-13
PL,1531713,2023-07-13
PT,120239,2023-07-13
RO,170850,2023-07-13
SE,475762,2023-07-13
SK,37060,2023-07-13
AT,231866,2023-07-14
BE,257419,2023-07-14
CH,163345,2023-07-14
DE,6606913,2023-07-14
DK,171628,2023-07-14
EE,24347,2023-07-14
ES,1969750,2023-07-14
FI,288980,2023-07-14
HU,190208,2023-07-14
IE,312437,2023-07-14
IT,4234955,2023-07-14
LT,21885,2023-07-14
LV,9172,2023-07-14
NO,109729,2023-07-14
PL,1433328,2023-07-14
PT,130410,2023-07-14
RO,167443,2023-07-14
SE,558377,2023-07-14
SK,33112,2023-07-14
AT,209697,2023-07-15
BE,243630,2023-07-15
CH,159983,2023-07-15
DE,6696651,2023-07-15
DK,142352,2023-07-15
EE,16923,2023-07-15
ES,2082600,2023-07-15
FI,276130,2023-07-15
HU,196335,2023-07-15
IE,349726,2023-07-15
IT,4338448,2023-07-15
LT,20203,2023-07-15
LV,5786,2023-07-15
NO,131029,2023-07-15
PL,1413036,2023-07-15
PT,123548,2023-07-15
RO,341256,2023-07-15
SE,581040,2023-07-15
SK,31822,2023-07-15
AT,364120,2023-07-16
BE,491621,2023-07-16
CH,346187,2023-07-16
DE,9645497,2023-07-16
DK,223812,2023-07-16
EE,24541,2023-07-16
ES,2901990,2023-07-16
FI,356092,2023-07-16
HU,269466,2023-07-16
IE,447657,2023-07-16
IT,5531160,2023-07-16
LT,26205,2023-07-16
LV,13874,2023-07-16
NO,172422,2023-07-16
PL,1939209,2023-07-16
PT,218830,2023-07-16
RO,280819,2023-07-16
SE,691421,2023-07-16
SK,62073,2023-07-16
AT,308308,2023-07-17
BE,281257,2023-07-17
CH,237107,2023-07-17
DE,7442266,2023-07-17
DK,149095,2023-07-17
EE,20361,2023-07-17
ES,2178549,2023-07-17
FI,248683,2023-07-17
HU,215830,2023-07-17
IE,259545,2023-07-17
IT,4616453,2023-07-17
LT,26532,2023-07-17
LV,12429,2023-07-17
NO,105155,2023-07-17
PL,1608694,2023-07-17
PT,153897,2023-07-17
RO,210705,2023-07-17
SE,528172,2023-07-17
SK,56847,2023-07-17
AT,251930,2023-07-18
BE,232414,2023-07-18
CH,171552,2023-07-18
DE,6633683,2023-07-18
DK,141578,2023-07-18
EE,18368,2023-07-18
ES,2009656,2023-07-18
FI,268911,2023-07-18
HU,188258,2023-07-18
IE,252426,2023-07-18
IT,4380926,2023-07-18
LT,20205,2023-07-18
LV,7855,2023-07-18
NO,87403,2023-07-18
PL,1398050,2023-07-18
PT,121618,2023-07-18
RO,176909,2023-07-18
SE,474383,2023-07-18
SK,33888,2023-07-18
AT,255062,2023-07-19
BE,269492,2023-07-19
CH,186023,2023-07-19
CZ,92,2023-07-19
DE,6909817,2023-07-19
DK,169995,2023-07-19
EE,14610,2023-07-19
ES,1973759,2023-07-19
FI,245808,2023-07-19
HU,264250,2023-07-19
IE,236849,2023-07-19
IT,4527367,2023-07-19
LT,21636,2023-07-19
LV,6434,2023-07-19
NO,111703,2023-07-19
PL,1356384,2023-07-19
PT,127275,2023-07-19
RO,179299,2023-07-19
SE,413688,2023-07-19
SK,36756,2023-07-19
AT,273386,2023-07-20
BE,287000,2023-07-20
CH,200371,2023-07-20
CZ,90,2023-07-20
DE,7356269,2023-07-20
DK,182194,2023-07-20
EE,23582,2023-07-20
ES,2025466,2023-07-20
FI,283668,2023-07-20
HU,280912,2023-07-20
IE,303957,2023-07-20
IT,4337147,2023-07-20
LT,21170,2023-07-20
LV,8596,2023-07-20
NO,125324,2023-07-20
PL,1508936,2023-07-20
PT,147058,2023-07-20
RO,196552,2023-07-20
SE,496666,2023-07-20
SK,44629,2023-07-20
AT,310828,2023-07-21
BE,417913,2023-07-21
CH,230976,2023-07-21
DE,7565241,2023-07-21
DK,162802,2023-07-21
EE,25837,2023-07-21
ES,2283556,2023-07-21
FI,351849,2023-07-21
HU,268933,2023-07-21
IE,303840,2023-07-21
IT,4363156,2023-07-21
LT,29167,2023-07-21
LV,9790,2023-07-21
NO,164256,2023-07-21
PL,1524890,2023-07-21
PT,156488,2023-07-21
RO,186740,2023-07-21
SE,556056,2023-07-21
SK,47052,2023-07-21
AT,328833,2023-07-22
BE,335636,2023-07-22
CH,209817,2023-07-22
DE,7591262,2023-07-22
DK,194407,2023-07-22
EE,23884,2023-07-22
ES,2348502,2023-07-22
FI,344689,2023-07-22
HU,281532,2023-07-22
IE,384613,2023-07-22
IT,4549696,2023-07-22
LT,37468,2023-07-22
LV,12361,2023-07-22
NO,161261,2023-07-22
PL,1676399,2023-07-22
PT,164192,2023-07-22
RO,208828,2023-07-22
SE,658335,2023-07-22
SK,49242,2023-07-22
AT,328477,2023-07-23
BE,487083,2023-07-23
CH,254012,2023-07-23
DE,9018993,2023-07-23
DK,330730,2023-07-23
EE,28281,2023-07-23
ES,3118633,2023-07-23
FI,386104,2023-07-23
HU,331293,2023-07-23
IE,472829,2023-07-23
IT,5391486,2023-07-23
LT,34262,2023-07-23
LV,14008,2023-07-23
NO,169604,2023-07-23
PL,2442195,2023-07-23
PT,223253,2023-07-23
RO,239465,2023-07-23
SE,625821,2023-07-23
SK,54272,2023-07-23
AT,329276,2023-07-24
BE,362147,2023-07-24
CH,268625,2023-07-24
DE,8207998,2023-07-24
DK,185346,2023-07-24
EE,22234,2023-07-24
ES,2615556,2023-07-24
FI,335954,2023-07-24
HU,265440,2023-07-24
IE,337303,2023-07-24
IT,4783116,2023-07-24
LT,36000,2023-07-24
LV,16332,2023-07-24
NO,182808,2023-07-24
PL,1948326,2023-07-24
PT,191639,2023-07-24
RO,222187,2023-07-24
SE,609845,2023-07-24
SK,47794,2023-07-24
AT,297601,2023-07-25
BE,269696,2023-07-25
CH,212461,2023-07-25
DE,8254002,2023-07-25
DK,139981,2023-07-25
EE,26917,2023-07-25
ES,2202535,2023-07-25
FI,308464,2023-07-25
HU,246498,2023-07-25
IE,271334,2023-07-25
IT,4337839,2023-07-25
LT,34680,2023-07-25
LV,10414,2023-07-25
NO,127868,2023-07-25
PL,2156538,2023-07-25
PT,148192,2023-07-25
RO,216481,2023-07-25
SE,510193,2023-07-25
SK,56142,2023-07-25
AT,360459,2023-07-26
BE,320697,2023-07-26
CH,220380,2023-07-26
CZ,90,2023-07-26
DE,7547661,2023-07-26
DK,198680,2023-07-26
EE,26090,2023-07-26
ES,2230589,2023-07-26
FI,363837,2023-07-26
HU,261989,2023-07-26
IE,536717,2023-07-26
IT,4582252,2023-07-26
LT,35503,2023-07-26
LV,11305,2023-07-26
NO,149671,2023-07-26
PL,1935173,2023-07-26
PT,175843,2023-07-26
RO,250582,2023-07-26
SE,552590,2023-07-26
SK,58025,2023-07-26
AT,328759,2023-07-27
BE,330173,2023-07-27
CH,204681,2023-07-27
CZ,91,2023-07-27
DE,7408525,2023-07-27
DK,174791,2023-07-27
EE,29527,2023-07-27
ES,2071600,2023-07-27
FI,359984,2023-07-27
HU,261149,2023-07-27
IE,414298,2023-07-27
IT,4359505,2023-07-27
LT,38429,2023-07-27
LV,14921,2023-07-27
NO,143359,2023-07-27
PL,1732462,2023-07-27
PT,182674,2023-07-27
RO,252623,2023-07-27
SE,546862,2023-07-27
SK,52362,2023-07-27
AT,278581,2023-07-28
BE,346575,2023-07-28
CH,189262,2023-07-28
DE,7348199,2023-07-28
DK,158389,2023-07-28
EE,27285,2023-07-28
ES,1920446,2023-07-28
FI,376155,2023-07-28
HU,239300,2023-07-28
IE,305749,2023-07-28
IT,4117499,2023-07-28
LT,29308,2023-07-28
LV,9087,2023-07-28
NO,128880,2023-07-28
PL,1638904,2023-07-28
PT,141367,2023-07-28
RO,185288,2023-07-28
SE,489854,2023-07-28
SK,46388,2023-07-28
AT,312487,2023-07-29
BE,334593,2023-07-29
CH,226443,2023-07-29
CZ,93,2023-07-29
DE,7596887,2023-07-29
DK,167497,2023-07-29
EE,25109,2023-07-29
ES,2150842,2023-07-29
FI,369522,2023-07-29
HU,324350,2023-07-29
IE,352945,2023-07-29
IT,4373146,2023-07-29
LT,27167,2023-07-29
LV,8261,2023-07-29
NO,129641,2023-07-29
PL,1672236,2023-07-29
PT,143418,2023-07-29
RO,192274,2023-07-29
SE,643198,2023-07-29
SK,47609,2023-07-29
AT,379010,2023-07-30
BE,431455,2023-07-30
CH,248323,2023-07-30
CZ,99,2023-07-30
DE,8900325,2023-07-30
DK,175554,2023-07-30
EE,26466,2023-07-30
ES,2443268,2023-07-30
FI,361459,2023-07-30
HU,354028,2023-07-30
IE,539315,2023-07-30
IT,4970408,2023-07-30
LT,33849,2023-07-30
LV,11466,2023-07-30
NO,167655,2023-07-30
PL,2070347,2023-07-30
PT,174723,2023-07-30
RO,232376,2023-07-30
SE,602983,2023-07-30
SK,58734,2023-07-30
AT,265303,2023-07-31
BE,321443,2023-07-31
CH,199739,2023-07-31
DE,7279039,2023-07-31
DK,134608,2023-07-31
EE,21422,2023-07-31
ES,2054936,2023-07-31
FI,257229,2023-07-31
HU,212033,2023-07-31
IE,369648,2023-07-31
IT,4256993,2023-07-31
LT,28586,2023-07-31
LV,11027,2023-07-31
NO,86973,2023-07-31
PL,1701403,2023-07-31
PT,140753,2023-07-31
RO,203426,2023-07-31
SE,490852,2023-07-31
SK,39762,2023-07-31
AT,302721,2023-08-01
BE,261516,2023-08-01
CH,300555,2023-08-01
DE,7043957,2023-08-01
DK,144321,2023-08-01
EE,24636,2023-08-01
ES,1941509,2023-08-01
FI,270349,2023-08-01
HU,211036,2023-08-01
IE,286097,2023-08-01
IT,4425625,2023-08-01
LT,38679,2023-08-01
LV,12735,2023-08-01
NO,90367,2023-08-01
PL,2635238,2023-08-01
PT,185358,2023-08-01
RO,441119,2023-08-01
SE,544808,2023-08-01
SK,48671,2023-08-01
AT,247918,2023-08-02
BE,288398,2023-08-02
CH,192025,2023-08-02
DE,7771871,2023-08-02
DK,123992,2023-08-02
EE,20134,2023-08-02
ES,1907923,2023-08-02
FI,272283,2023-08-02
HU,193025,2023-08-02
IE,238949,2023-08-02
IT,4370231,2023-08-02
LT,26099,2023-08-02
LV,11836,2023-08-02
NO,115417,2023-08-02
PL,1652037,2023-08-02
PT,221027,2023-08-02
RO,187226,2023-08-02
SE,537113,2023-08-02
SK,38703,2023-08-02
AT,292879,2023-08-03
BE,299916,2023-08-03
CH,176519,2023-08-03
DE,6985210,2023-08-03
DK,133975,2023-08-03
EE,21299,2023-08-03
ES,1914599,2023-08-03
FI,296534,2023-08-03
HU,195759,2023-08-03
IE,212752,2023-08-03
IT,4322089,2023-08-03
LT,28344,2023-08-03
LV,13618,2023-08-03
NO,120652,2023-08-03
PL,1700981,2023-08-03
PT,186452,2023-08-03
RO,191611,2023-08-03
SE,505816,2023-08-03
SK,43374,2023-08-03
AT,338716,2023-08-04
BE,339054,2023-08-04
CH,205387,2023-08-04
DE,7451953,2023-08-04
DK,139483,2023-08-04
EE,23672,2023-08-04
ES,1890305,2023-08-04
FI,318544,2023-08-04
HU,204802,2023-08-04
IE,240790,2023-08-04
IT,4608357,2023-08-04
LT,27061,2023-08-04
LV,12342,2023-08-04
NO,142099,2023-08-04
PL,1638980,2023-08-04
PT,172255,2023-08-04
RO,187061,2023-08-04
SE,541221,2023-08-04
SK,39227,2023-08-04
AT,378987,2023-08-05
BE,314055,2023-08-05
CH,212434,2023-08-05
DE,7392634,2023-08-05
DK,141121,2023-08-05
EE,20850,2023-08-05
ES,2156555,2023-08-05
FI,278630,2023-08-05
HU,227562,2023-08-05
IE,264698,2023-08-05
IT,4730973,2023-08-05
LT,22300,2023-08-05
LV,9084,2023-08-05
NO,155677,2023-08-05
PL,1790395,2023-08-05
PT,205933,2023-08-05
RO,198932,2023-08-05
SE,530743,2023-08-05
SK,48312,2023-08-05
AT,448741,2023-08-06
BE,436364,2023-08-06
CH,308302,2023-08-06
DE,10233837,2023-08-06
DK,181751,2023-08-06
EE,32654,2023-08-06
ES,2529517,2023-08-06
FI,322119,2023-08-06
HU,304555,2023-08-06
IE,313284,2023-08-06
IT,5204436,2023-08-06
LT,23818,2023-08-06
LV,9981,2023-08-06
NO,145220,2023-08-06
PL,2155284,2023-08-06
PT,266325,2023-08-06
RO,260531,2023-08-06
SE,756644,2023-08-06
SK,67170,2023-08-06
AT,307887,2023-08-07
BE,287234,2023-08-07
CH,222761,2023-08-07
CZ,100,2023-08-07
DE,7451959,2023-08-07
DK,162943,2023-08-07
EE,26189,2023-08-07
ES,2383191,2023-08-07
FI,213162,2023-08-07
HU,200019,2023-08-07
IE,288988,2023-08-07
IT,4523589,2023-08-07
LT,26021,2023-08-07
LV,12775,2023-08-07
NO,132579,2023-08-07
PL,1582334,2023-08-07
PT,172278,2023-08-07
RO,189190,2023-08-07
SE,545617,2023-08-07
SK,48210,2023-08-07
AT,259393,2023-08-08
BE,275358,2023-08-08
CH,174662,2023-08-08
DE,6952233,2023-08-08
DK,140878,2023-08-08
EE,25368,2023-08-08
ES,3105006,2023-08-08
FI,267311,2023-08-08
HU,188877,2023-08-08
IE,239497,2023-08-08
IT,4577360,2023-08-08
LT,19640,2023-08-08
LV,11145,2023-08-08
NO,161850,2023-08-08
PL,1617864,2023-08-08
PT,130089,2023-08-08
RO,176351,2023-08-08
SE,548018,2023-08-08
SK,45873,2023-08-08
AT,302630,2023-08-09
BE,245603,2023-08-09
CH,169867,2023-08-09
DE,6841961,2023-08-09
DK,126828,2023-08-09
EE,39386,2023-08-09
ES,2527806,2023-08-09
FI,239191,2023-08-09
HU,194100,2023-08-09
IE,217093,2023-08-09
IT,4606176,2023-08-09
LT,22907,2023-08-09
LV,9326,2023-08-09
NO,142551,2023-08-09
PL,2039396,2023-08-09
PT,176089,2023-08-09
RO,161191,2023-08-09
SE,466973,2023-08-09
SK,47182,2023-08-09
AT,251754,2023-08-10
BE,215584,2023-08-10
CH,152871,2023-08-10
CZ,92,2023-08-10
DE,6345949,2023-08-10
DK,107575,2023-08-10
EE,23951,2023-08-10
ES,2200060,2023-08-10
FI,254424,2023-08-10
HU,183252,2023-08-10
IE,234251,2023-08-10
IT,4500785,2023-08-10
LT,19030,2023-08-10
LV,8072,2023-08-10
NO,144562,2023-08-10
PL,1625635,2023-08-10
PT,153057,2023-08-10
RO,174542,2023-08-10
SE,465755,2023-08-10
SK,35093,2023-08-10
AT,246762,2023-08-11
BE,264355,2023-08-11
CH,166983,2023-08-11
DE,6627521,2023-08-11
DK,127781,2023-08-11
EE,23165,2023-08-11
ES,2142071,2023-08-11
FI,281983,2023-08-11
HU,181428,2023-08-11
IE,260716,2023-08-11
IT,4698257,2023-08-11
LT,28016,2023-08-11
LV,7188,2023-08-11
NO,143133,2023-08-11
PL,1358936,2023-08-11
PT,114497,2023-08-11
RO,164033,2023-08-11
SE,598988,2023-08-11
SK,31920,2023-08-11
AT,271354,2023-08-12
BE,318670,2023-08-12
CH,211786,2023-08-12
DE,7642706,2023-08-12
DK,131736,2023-08-12
EE,24288,2023-08-12
ES,2183639,2023-08-12
FI,339048,2023-08-12
HU,205007,2023-08-12
IE,328766,2023-08-12
IT,4877916,2023-08-12
LT,24271,2023-08-12
LV,10083,2023-08-12
NO,142397,2023-08-12
PL,1535635,2023-08-12
PT,146198,2023-08-12
RO,175086,2023-08-12
SE,713532,2023-08-12
SK,34559,2023-08-12
AT,308794,2023-08-13
BE,335932,2023-08-13
CH,244051,2023-08-13
DE,8483511,2023-08-13
DK,121526,2023-08-13
EE,24984,2023-08-13
ES,2435047,2023-08-13
FI,309921,2023-08-13
HU,240638,2023-08-13
IE,321154,2023-08-13
IT,5250795,2023-08-13
LT,20616,2023-08-13
LV,7628,2023-08-13
NO,134902,2023-08-13
PL,2182219,2023-08-13
PT,151962,2023-08-13
RO,205872,2023-08-13
SE,555634,2023-08-13
SK,38962,2023-08-13
AT,245628,2023-08-14
BE,249753,2023-08-14
CH,185038,2023-08-14
CZ,185,2023-08-14
DE,7126687,2023-08-14
DK,119345,2023-08-14
EE,22478,2023-08-14
ES,2239358,2023-08-14
FI,269137,2023-08-14
HU,197228,2023-08-14
IE,252649,2023-08-14
IT,4688361,2023-08-14
LT,29970,2023-08-14
LV,12586,2023-08-14
NO,105558,2023-08-14
PL,1521497,2023-08-14
PT,140582,2023-08-14
RO,189365,2023-08-14
SE,402201,2023-08-14
SK,34551,2023-08-14
AT,318449,2023-08-15
BE,262549,2023-08-15
CH,191977,2023-08-15
DE,7111281,2023-08-15
DK,119505,2023-08-15
EE,22244,2023-08-15
ES,2789379,2023-08-15
FI,232430,2023-08-15
HU,214665,2023-08-15
IE,225096,2023-08-15
IT,5089106,2023-08-15
LT,32759,2023-08-15
LV,10714,2023-08-15
NO,117892,2023-08-15
PL,2142728,2023-08-15
PT,144373,2023-08-15
RO,215859,2023-08-15
SE,556598,2023-08-15
SK,39681,2023-08-15
AT,280358,2023-08-16
BE,261553,2023-08-16
CH,182603,2023-08-16
DE,7157932,2023-08-16
DK,118735,2023-08-16
EE,19957,2023-08-16
ES,2284979,2023-08-16
FI,283977,2023-08-16
HU,210558,2023-08-16
IE,267779,2023-08-16
IT,5210619,2023-08-16
LT,26247,2023-08-16
LV,11284,2023-08-16
NO,105518,2023-08-16
PL,1677020,2023-08-16
PT,144627,2023-08-16
RO,197182,2023-08-16
SE,463439,2023-08-16
SK,34229,2023-08-16
AT,246565,2023-08-17
BE,229034,2023-08-17
CH,164450,2023-08-17
DE,7475496,2023-08-17
DK,112466,2023-08-17
EE,19571,2023-08-17
ES,2245004,2023-08-17
FI,253197,2023-08-17
HU,202392,2023-08-17
IE,245254,2023-08-17
IT,5055623,2023-08-17
LT,23154,2023-08-17
LV,10633,2023-08-17
NO,85550,2023-08-17
PL,1637554,2023-08-17
PT,129287,2023-08-17
RO,178594,2023-08-17
SE,417693,2023-08-17
SK,40462,2023-08-17
AT,249691,2023-08-18
BE,248576,2023-08-18
CH,158206,2023-08-18
DE,6842547,2023-08-18
DK,123693,2023-08-18
EE,19896,2023-08-18
ES,2165334,2023-08-18
FI,253306,2023-08-18
HU,207489,2023-08-18
IE,284113,2023-08-18
IT,5050563,2023-08-18
LT,20549,2023-08-18
LV,9438,2023-08-18
NO,97516,2023-08-18
PL,1583009,2023-08-18
PT,112308,2023-08-18
RO,169731,2023-08-18
SE,496892,2023-08-18
SK,37211,2023-08-18
AT,258532,2023-08-19
BE,292781,2023-08-19
CH,161202,2023-08-19
DE,6714128,2023-08-19
DK,118627,2023-08-19
EE,21651,2023-08-19
ES,2262418,2023-08-19
FI,362600,2023-08-19
HU,309159,2023-08-19
IE,323564,2023-08-19
IT,5351698,2023-08-19
LT,26344,2023-08-19
LV,8836,2023-08-19
NO,127904,2023-08-19
PL,1584068,2023-08-19
PT,132479,2023-08-19
RO,169153,2023-08-19
SE,663872,2023-08-19
SK,92964,2023-08-19
AT,320153,2023-08-20
BE,342225,2023-08-20
CH,234947,2023-08-20
DE,7955703,2023-08-20
DK,155109,2023-08-20
EE,34448,2023-08-20
ES,3684017,2023-08-20
FI,374051,2023-08-20
HU,423998,2023-08-20
IE,387481,2023-08-20
IT,5817920,2023-08-20
LT,26989,2023-08-20
LV,10386,2023-08-20
NO,181024,2023-08-20
PL,2071473,2023-08-20
PT,169429,2023-08-20
RO,226578,2023-08-20
SE,654720,2023-08-20
SK,66466,2023-08-20
AT,265813,2023-08-21
BE,257565,2023-08-21
CH,180710,2023-08-21
DE,6957178,2023-08-21
DK,141751,2023-08-21
EE,24223,2023-08-21
ES,2603435,2023-08-21
FI,334772,2023-08-21
HU,274656,2023-08-21
IE,284412,2023-08-21
IT,5152509,2023-08-21
LT,32232,2023-08-21
LV,13558,2023-08-21
NO,115379,2023-08-21
PL,1703696,2023-08-21
PT,129375,2023-08-21
RO,179466,2023-08-21
SE,474310,2023-08-21
SK,69145,2023-08-21
AT,249831,2023-08-22
BE,267718,2023-08-22
CH,174934,2023-08-22
DE,6952635,2023-08-22
DK,131401,2023-08-22
EE,22911,2023-08-22
ES,2253656,2023-08-22
FI,288837,2023-08-22
HU,235521,2023-08-22
IE,252831,2023-08-22
IT,5806729,2023-08-22
LT,32713,2023-08-22
LV,10604,2023-08-22
NO,104243,2023-08-22
PL,1801661,2023-08-22
PT,121757,2023-08-22
RO,193301,2023-08-22
SE,438345,2023-08-22
SK,45949,2023-08-22
AT,275683,2023-08-23
BE,269607,2023-08-23
CH,201052,2023-08-23
DE,7152517,2023-08-23
DK,138672,2023-08-23
EE,33132,2023-08-23
ES,2265746,2023-08-23
FI,399544,2023-08-23
HU,240538,2023-08-23
IE,271112,2023-08-23
IT,5823622,2023-08-23
LT,44421,2023-08-23
LV,18770,2023-08-23
NO,163648,2023-08-23
PL,2628423,2023-08-23
PT,147869,2023-08-23
RO,221018,2023-08-23
SE,435178,2023-08-23
SK,51672,2023-08-23
AT,301012,2023-08-24
BE,335651,2023-08-24
CH,219496,2023-08-24
DE,7301908,2023-08-24
DK,142904,2023-08-24
EE,34567,2023-08-24
ES,2279288,2023-08-24
FI,374573,2023-08-24
HU,248353,2023-08-24
IE,259068,2023-08-24
IT,5929404,2023-08-24
LT,48577,2023-08-24
LV,26813,2023-08-24
NO,143297,2023-08-24
PL,1920915,2023-08-24
PT,149473,2023-08-24
RO,212499,2023-08-24
SE,461903,2023-08-24
SK,50150,2023-08-24
AT,273603,2023-08-25
BE,314694,2023-08-25
CH,221206,2023-08-25
DE,7671382,2023-08-25
DK,141417,2023-08-25
EE,30381,2023-08-25
ES,2373036,2023-08-25
FI,369925,2023-08-25
HU,231734,2023-08-25
IE,281496,2023-08-25
IT,5719766,2023-08-25
LT,39728,2023-08-25
LV,22162,2023-08-25
NO,158896,2023-08-25
PL,1640842,2023-08-25
PT,154145,2023-08-25
RO,198867,2023-08-25
