country_code,wikipedia_pageviews,date
AT,436798,2023-02-17
BE,436577,2023-02-17
CH,232867,2023-02-17
CZ,93,2023-02-17
DE,12005787,2023-02-17
DK,174534,2023-02-17
EE,28303,2023-02-17
ES,2619372,2023-02-17
FI,380214,2023-02-17
HU,311238,2023-02-17
IE,294084,2023-02-17
IT,5281605,2023-02-17
LT,41153,2023-02-17
LV,11837,2023-02-17
NO,167190,2023-02-17
PL,2061080,2023-02-17
PT,181002,2023-02-17
RO,272331,2023-02-17
SE,788466,2023-02-17
SK,87310,2023-02-17
AT,384114,2023-02-18
BE,416844,2023-02-18
CH,228599,2023-02-18
DE,11554561,2023-02-18
DK,214934,2023-02-18
EE,23885,2023-02-18
ES,2844203,2023-02-18
FI,433089,2023-02-18
HU,414418,2023-02-18
IE,421589,2023-02-18
IT,6123332,2023-02-18
LT,57793,2023-02-18
LV,11766,2023-02-18
NO,169446,2023-02-18
PL,2346774,2023-02-18
PT,213499,2023-02-18
RO,267451,2023-02-18
SE,916896,2023-02-18
SK,82310,2023-02-18
AT,537782,2023-02-19
BE,453663,2023-02-19
CH,279265,2023-02-19
DE,12701813,2023-02-19
DK,194201,2023-02-19
EE,29243,2023-02-19
ES,3470117,2023-02-19
FI,459534,2023-02-19
HU,514028,2023-02-19
IE,455447,2023-02-19
IT,7136226,2023-02-19
LT,57122,2023-02-19
LV,13292,2023-02-19
NO,191786,2023-02-19
PL,2992052,2023-02-19
PT,268165,2023-02-19
RO,314244,2023-02-19
SE,691305,2023-02-19
SK,93364,2023-02-19
AT,376476,2023-02-20
BE,369116,2023-02-20
CH,220940,2023-02-20
CZ,93,2023-02-20
DE,11711529,2023-02-20
DK,166154,2023-02-20
EE,31214,2023-02-20
ES,2853522,2023-02-20
FI,384550,2023-02-20
HU,353527,2023-02-20
IE,322004,2023-02-20
IT,5739520,2023-02-20
LT,56220,2023-02-20
LV,14967,2023-02-20
NO,139381,2023-02-20
PL,2424229,2023-02-20
PT,235408,2023-02-20
RO,295784,2023-02-20
SE,511161,2023-02-20
SK,72799,2023-02-20
AT,342529,2023-02-21
BE,321266,2023-02-21
CH,187066,2023-02-21
DE,10911423,2023-02-21
DK,145013,2023-02-21
EE,36175,2023-02-21
ES,2967817,2023-02-21
FI,398974,2023-02-21
HU,323554,2023-02-21
IE,280815,2023-02-21
IT,5636270,2023-02-21
LT,54984,2023-02-21
LV,15368,2023-02-21
NO,136596,2023-02-21
PL,2473210,2023-02-21
PT,249855,2023-02-21
RO,301979,2023-02-21
SE,497150,2023-02-21
SK,69035,2023-02-21
AT,326156,2023-02-22
BE,320140,2023-02-22
CH,187904,2023-02-22
DE,10851850,2023-02-22
DK,143781,2023-02-22
EE,34248,2023-02-22
ES,2902966,2023-02-22
FI,358913,2023-02-22
HU,321716,2023-02-22
IE,268821,2023-02-22
IT,5796883,2023-02-22
LT,94355,2023-02-22
LV,14460,2023-02-22
NO,127177,2023-02-22
PL,2302239,2023-02-22
PT,226096,2023-02-22
RO,274762,2023-02-22
SE,557412,2023-02-22
SK,73046,2023-02-22
AT,354795,2023-02-23
BE,325502,2023-02-23
CH,181533,2023-02-23
CZ,91,2023-02-23
DE,11353669,2023-02-23
DK,141659,2023-02-23
EE,35472,2023-02-23
ES,2910888,2023-02-23
FI,387773,2023-02-23
HU,340030,2023-02-23
IE,262688,2023-02-23
IT,5536929,2023-02-23
LT,63000,2023-02-23
LV,21756,2023-02-23
NO,149285,2023-02-23
PL,2203709,2023-02-23
PT,200705,2023-02-23
RO,288753,2023-02-23
SE,648687,2023-02-23
SK,63115,2023-02-23
AT,370639,2023-02-24
BE,494166,2023-02-24
CH,207574,2023-02-24
DE,13245711,2023-02-24
DK,160783,2023-02-24
EE,74722,2023-02-24
ES,2628003,2023-02-24
FI,398152,2023-02-24
HU,336875,2023-02-24
IE,310925,2023-02-24
IT,6695144,2023-02-24
LT,63377,2023-02-24
LV,15348,2023-02-24
NO,182229,2023-02-24
PL,2166667,2023-02-24
PT,182040,2023-02-24
RO,306348,2023-02-24
SE,674846,2023-02-24
SK,75918,2023-02-24
AT,413072,2023-02-25
BE,444786,2023-02-25
CH,235337,2023-02-25
DE,12267905,2023-02-25
DK,167810,2023-02-25
EE,30623,2023-02-25
ES,2990767,2023-02-25
FI,624324,2023-02-25
HU,416430,2023-02-25
IE,386615,2023-02-25
IT,6943156,2023-02-25
LT,36574,2023-02-25
LV,13131,2023-02-25
NO,195123,2023-02-25
PL,2453942,2023-02-25
PT,227049,2023-02-25
RO,315433,2023-02-25
SE,1007830,2023-02-25
SK,110103,2023-02-25
AT,500001,2023-02-26
BE,464571,2023-02-26
CH,280452,2023-02-26
CZ,97,2023-02-26
DE,14965313,2023-02-26
DK,189112,2023-02-26
EE,40241,2023-02-26
ES,3672515,2023-02-26
FI,553485,2023-02-26
HU,541951,2023-02-26
IE,439294,2023-02-26
IT,8187503,2023-02-26
LT,55732,2023-02-26
LV,16327,2023-02-26
NO,236500,2023-02-26
PL,3165993,2023-02-26
PT,266569,2023-02-26
RO,387050,2023-02-26
SE,675855,2023-02-26
SK,107015,2023-02-26
AT,381637,2023-02-27
BE,387748,2023-02-27
CH,259297,2023-02-27
CZ,185,2023-02-27
DE,12530453,2023-02-27
DK,174070,2023-02-27
EE,30700,2023-02-27
ES,3017887,2023-02-27
FI,417069,2023-02-27
HU,368281,2023-02-27
IE,315452,2023-02-27
IT,7038089,2023-02-27
LT,59391,2023-02-27
LV,19335,2023-02-27
NO,147042,2023-02-27
PL,2406790,2023-02-27
PT,217992,2023-02-27
RO,361503,2023-02-27
SE,489411,2023-02-27
SK,76917,2023-02-27
AT,335386,2023-02-28
BE,343823,2023-02-28
CH,202264,2023-02-28
DE,10261357,2023-02-28
DK,151287,2023-02-28
EE,23368,2023-02-28
ES,3047055,2023-02-28
FI,420970,2023-02-28
HU,330496,2023-02-28
IE,263486,2023-02-28
IT,6102405,2023-02-28
LT,55445,2023-02-28
LV,16651,2023-02-28
NO,133011,2023-02-28
PL,2269019,2023-02-28
PT,190157,2023-02-28
RO,358477,2023-02-28
SE,446785,2023-02-28
SK,64631,2023-02-28
AT,303526,2023-03-01
BE,312239,2023-03-01
CH,180926,2023-03-01
DE,10837206,2023-03-01
DK,124981,2023-03-01
EE,27238,2023-03-01
ES,2899480,2023-03-01
FI,373435,2023-03-01
HU,320666,2023-03-01
IE,260500,2023-03-01
IT,5923172,2023-03-01
LT,54493,2023-03-01
LV,13545,2023-03-01
NO,149375,2023-03-01
PL,2134288,2023-03-01
PT,180296,2023-03-01
RO,362128,2023-03-01
SE,454250,2023-03-01
SK,57457,2023-03-01
AT,302719,2023-03-02
BE,341251,2023-03-02
CH,179280,2023-03-02
DE,11055059,2023-03-02
DK,126156,2023-03-02
EE,32215,2023-03-02
ES,2771942,2023-03-02
FI,404613,2023-03-02
HU,294567,2023-03-02
IE,250500,2023-03-02
IT,5490350,2023-03-02
LT,49268,2023-03-02
LV,11480,2023-03-02
NO,140428,2023-03-02
PL,2102653,2023-03-02
PT,163923,2023-03-02
RO,308232,2023-03-02
SE,472329,2023-03-02
SK,56232,2023-03-02
AT,383431,2023-03-03
BE,415813,2023-03-03
CH,190158,2023-03-03
DE,8911647,2023-03-03
DK,163234,2023-03-03
EE,30030,2023-03-03
ES,2608578,2023-03-03
FI,459246,2023-03-03
HU,270774,2023-03-03
IE,283274,2023-03-03
IT,5235729,2023-03-03
LT,37418,2023-03-03
LV,14727,2023-03-03
NO,186391,2023-03-03
PL,2073281,2023-03-03
PT,170061,2023-03-03
RO,268465,2023-03-03
SE,561833,2023-03-03
SK,55591,2023-03-03
AT,391819,2023-03-04
BE,419533,2023-03-04
CH,211385,2023-03-04
DE,10852475,2023-03-04
DK,160608,2023-03-04
EE,36587,2023-03-04
ES,2899545,2023-03-04
FI,561311,2023-03-04
HU,375162,2023-03-04
IE,352575,2023-03-04
IT,5921414,2023-03-04
LT,41308,2023-03-04
LV,16817,2023-03-04
NO,188816,2023-03-04
PL,2397856,2023-03-04
PT,213966,2023-03-04
RO,276772,2023-03-04
SE,825774,2023-03-04
SK,82073,2023-03-04
AT,577667,2023-03-05
BE,523353,2023-03-05
CH,300126,2023-03-05
DE,11092685,2023-03-05
DK,189190,2023-03-05
EE,84234,2023-03-05
ES,3716323,2023-03-05
FI,766208,2023-03-05
HU,517163,2023-03-05
IE,408628,2023-03-05
IT,7061427,2023-03-05
LT,80096,2023-03-05
LV,15696,2023-03-05
NO,225765,2023-03-05
PL,3039764,2023-03-05
PT,287536,2023-03-05
RO,365268,2023-03-05
